0:0	0	2	1	0	1	1	4	99	
0:1	1	2	1	1	2	2	5	66	
0:2	2	2	0	2	0	2	2	41	
0:3	3	2	0	0	1	0	0	51	
1:0	4	2	1	0	1	1	4	81	
1:1	5	2	1	1	2	2	5	65	
1:2	6	2	0	2	0	2	2	68	
1:3	7	2	0	0	1	0	0	41	
2:0	8	2	1	0	1	1	4	76	
2:1	9	2	1	1	2	2	5	34	
2:2	10	2	0	2	0	2	2	51	
2:3	11	2	0	0	1	0	0	31	
3:0	12	2	1	0	1	1	4	93	
3:1	13	2	1	1	2	2	5	44	
3:2	14	2	1	2	0	0	3	125	
3:3	15	2	1	0	1	1	4	59	
4:0	16	2	1	0	1	1	4	106	
4:1	17	2	1	1	2	2	5	68	
4:2	18	2	1	2	0	0	3	73	
4:3	19	2	1	0	1	1	4	72	
5:0	20	2	1	0	1	1	4	104	
5:1	21	2	1	1	2	2	5	133	
5:2	22	2	1	2	0	0	3	70	
5:3	23	2	1	0	1	1	4	432	
6:0	24	2	1	0	1	1	4	110	
6:1	25	2	1	1	2	2	5	64	
6:2	26	2	0	2	0	2	2	49	
6:3	27	2	0	0	1	0	0	65	
7:0	28	2	1	0	1	1	4	188	
7:1	29	2	1	1	2	2	5	118	
7:2	30	2	0	2	0	2	2	75	
7:3	31	2	0	0	1	0	0	24	
8:0	32	2	1	0	1	1	4	90	
8:1	33	2	1	1	2	2	5	78	
8:2	34	2	0	2	0	2	2	83	
8:3	35	2	0	0	1	0	0	40	
9:0	36	2	1	0	1	1	4	90	
9:1	37	2	1	1	2	2	5	159	
9:2	38	2	1	2	0	0	3	125	
9:3	39	2	1	0	1	1	4	113	
10:0	40	2	1	0	1	1	4	85	
10:1	41	2	1	1	2	2	5	170	
10:2	42	2	1	2	0	0	3	62	
10:3	43	2	1	0	1	1	4	48	
11:0	44	2	1	0	1	1	4	82	
11:1	45	2	1	1	2	2	5	75	
11:2	46	2	1	2	0	0	3	128	
11:3	47	2	1	0	1	1	4	114	
12:0	48	2	1	0	1	1	4	66	
12:1	49	2	1	1	2	2	5	102	
12:2	50	2	0	2	0	2	2	48	
12:3	51	2	0	0	1	0	0	44	
13:0	52	2	1	0	1	1	4	65	
13:1	53	2	1	1	2	2	5	73	
13:2	54	2	0	2	0	2	2	39	
13:3	55	2	0	0	1	0	0	66	
14:0	56	2	1	0	1	1	4	74	
14:1	57	2	1	1	2	2	5	88	
14:2	58	2	0	2	0	2	2	70	
14:3	59	2	0	0	1	0	0	53	
15:0	60	2	1	0	1	1	4	77	
15:1	61	2	1	1	2	2	5	58	
15:2	62	2	1	2	0	0	3	90	
15:3	63	2	1	0	1	1	4	53	
16:0	64	2	1	0	1	1	4	47	
16:1	65	2	1	1	2	2	5	127	
16:2	66	2	1	2	0	0	3	69	
16:3	67	2	1	0	1	1	4	327	
17:0	68	2	1	0	1	1	4	87	
17:1	69	2	1	1	2	2	5	92	
17:2	70	2	1	2	0	0	3	82	
17:3	71	2	1	0	1	1	4	69	
18:0	72	2	1	0	1	1	4	58	
18:1	73	2	1	1	2	2	5	74	
18:2	74	2	0	2	0	2	2	83	
18:3	75	2	0	0	1	0	0	48	
19:0	76	2	1	0	1	1	4	152	
19:1	77	2	1	1	2	2	5	100	
19:2	78	2	0	2	0	2	2	57	
19:3	79	2	0	0	1	0	0	30	
20:0	80	2	1	0	1	1	4	107	
20:1	81	2	1	1	2	2	5	48	
20:2	82	2	0	2	0	2	2	38	
20:3	83	2	0	0	1	0	0	41	
21:0	84	2	1	0	1	1	4	118	
21:1	85	2	1	1	2	2	5	52	
21:2	86	2	1	2	0	0	3	318	
21:3	87	2	1	0	1	1	4	39	
22:0	88	2	1	0	1	1	4	60	
22:1	89	2	1	1	2	2	5	97	
22:2	90	2	1	2	0	0	3	50	
22:3	91	2	1	0	1	1	4	109	
23:0	92	2	1	0	1	1	4	97	
23:1	93	2	1	1	2	2	5	121	
23:2	94	2	1	2	0	0	3	82	
23:3	95	2	1	0	1	1	4	70	
24:0	96	2	1	0	1	1	4	67	
24:1	97	2	1	1	2	2	5	72	
24:2	98	2	0	2	0	2	2	48	
24:3	99	2	0	0	1	0	0	44	
25:0	100	2	1	0	1	1	4	88	
25:1	101	2	1	1	2	2	5	141	
25:2	102	2	0	2	0	2	2	42	
25:3	103	2	0	0	1	0	0	31	
26:0	104	2	1	0	1	1	4	63	
26:1	105	2	1	1	2	2	5	85	
26:2	106	2	0	2	0	2	2	70	
26:3	107	2	0	0	1	0	0	31	
27:0	108	2	1	0	1	1	4	59	
27:1	109	2	1	1	2	2	5	70	
27:2	110	2	1	2	0	0	3	83	
27:3	111	2	1	0	1	1	4	116	
28:0	112	2	1	0	1	1	4	104	
28:1	113	2	1	1	2	2	5	49	
28:2	114	2	1	2	0	0	3	89	
28:3	115	2	1	0	1	1	4	76	
29:0	116	2	1	0	1	1	4	75	
29:1	117	2	1	1	2	2	5	74	
29:2	118	2	1	2	0	0	3	68	
29:3	119	2	1	0	1	1	4	115	
30:0	120	2	1	0	1	1	4	119	
30:1	121	2	1	1	2	2	5	64	
30:2	122	2	0	2	0	2	2	52	
30:3	123	2	0	0	1	0	0	76	
31:0	124	2	1	0	1	1	4	112	
31:1	125	2	1	1	2	2	5	60	
31:2	126	2	0	2	0	2	2	34	
31:3	127	2	0	0	1	0	0	47	
32:0	128	2	1	0	1	1	4	96	
32:1	129	2	1	1	2	2	5	214	
32:2	130	2	0	2	0	2	2	53	
32:3	131	2	0	0	1	0	0	46	
33:0	132	2	1	0	1	1	4	453	
33:1	133	2	1	1	2	2	5	74	
33:2	134	2	1	2	0	0	3	123	
33:3	135	2	1	0	1	1	4	67	
34:0	136	2	1	0	1	1	4	73	
34:1	137	2	1	1	2	2	5	104	
34:2	138	2	1	2	0	0	3	203	
34:3	139	2	1	0	1	1	4	117	
35:0	140	2	1	0	1	1	4	59	
35:1	141	2	1	1	2	2	5	89	
35:2	142	2	1	2	0	0	3	84	
35:3	143	2	1	0	1	1	4	105	
36:0	144	2	1	0	1	1	4	182	
36:1	145	2	1	1	2	2	5	59	
36:2	146	2	0	2	0	2	2	67	
36:3	147	2	0	0	1	0	0	54	
37:0	148	2	1	0	1	1	4	148	
37:1	149	2	1	1	2	2	5	115	
37:2	150	2	0	2	0	2	2	55	
37:3	151	2	0	0	1	0	0	36	
38:0	152	2	1	0	1	1	4	109	
38:1	153	2	1	1	2	2	5	102	
38:2	154	2	0	2	0	2	2	42	
38:3	155	2	0	0	1	0	0	40	
39:0	156	2	1	0	1	1	4	146	
39:1	157	2	1	1	2	2	5	43	
39:2	158	2	1	2	0	0	3	69	
39:3	159	2	1	0	1	1	4	35	
40:0	160	2	1	0	1	1	4	47	
40:1	161	2	1	1	2	2	5	86	
40:2	162	2	1	2	0	0	3	80	
40:3	163	2	1	0	1	1	4	97	
41:0	164	2	1	0	1	1	4	84	
41:1	165	2	1	1	2	2	5	60	
41:2	166	2	1	2	0	0	3	67	
41:3	167	2	1	0	1	1	4	125	
42:0	168	2	1	0	1	1	4	245	
42:1	169	2	1	1	2	2	5	54	
42:2	170	2	0	2	0	2	2	34	
42:3	171	2	0	0	1	0	0	40	
43:0	172	2	1	0	1	1	4	119	
43:1	173	2	1	1	2	2	5	137	
43:2	174	2	0	2	0	2	2	44	
43:3	175	2	0	0	1	0	0	32	
44:0	176	2	1	0	1	1	4	116	
44:1	177	2	1	1	2	2	5	314	
44:2	178	2	0	2	0	2	2	65	
44:3	179	2	0	0	1	0	0	34	
45:0	180	2	1	0	1	1	4	215	
45:1	181	2	1	1	2	2	5	247	
45:2	182	2	1	2	0	0	3	85	
45:3	183	2	1	0	1	1	4	138	
46:0	184	2	1	0	1	1	4	436	
46:1	185	2	1	1	2	2	5	59	
46:2	186	2	1	2	0	0	3	77	
46:3	187	2	1	0	1	1	4	96	
47:0	188	2	1	0	1	1	4	87	
47:1	189	2	1	1	2	2	5	56	
47:2	190	2	1	2	0	0	3	121	
47:3	191	2	1	0	1	1	4	65	
48:0	192	2	1	0	1	1	4	162	
48:1	193	2	1	1	2	2	5	113	
48:2	194	2	0	2	0	2	2	56	
48:3	195	2	0	0	1	0	0	46	
49:0	196	2	1	0	1	1	4	93	
49:1	197	2	1	1	2	2	5	140	
49:2	198	2	0	2	0	2	2	51	
49:3	199	2	0	0	1	0	0	34	
50:0	200	2	1	0	1	1	4	65	
50:1	201	2	1	1	2	2	5	92	
50:2	202	2	0	2	0	2	2	75	
50:3	203	2	0	0	1	0	0	41	
51:0	204	2	1	0	1	1	4	77	
51:1	205	2	1	1	2	2	5	95	
51:2	206	2	1	2	0	0	3	77	
51:3	207	2	1	0	1	1	4	104	
52:0	208	2	1	0	1	1	4	129	
52:1	209	2	1	1	2	2	5	188	
52:2	210	2	1	2	0	0	3	80	
52:3	211	2	1	0	1	1	4	127	
53:0	212	2	1	0	1	1	4	69	
53:1	213	2	1	1	2	2	5	61	
53:2	214	2	1	2	0	0	3	82	
53:3	215	2	1	0	1	1	4	257	
54:0	216	2	1	0	1	1	4	77	
54:1	217	2	1	1	2	2	5	64	
54:2	218	2	0	2	0	2	2	34	
54:3	219	2	0	0	1	0	0	33	
55:0	220	2	1	0	1	1	4	96	
55:1	221	2	1	1	2	2	5	65	
55:2	222	2	0	2	0	2	2	44	
55:3	223	2	0	0	1	0	0	35	
56:0	224	2	1	0	1	1	4	101	
56:1	225	2	1	1	2	2	5	55	
56:2	226	2	0	2	0	2	2	76	
56:3	227	2	0	0	1	0	0	45	
57:0	228	2	1	0	1	1	4	82	
57:1	229	2	1	1	2	2	5	179	
57:2	230	2	1	2	0	0	3	39	
57:3	231	2	1	0	1	1	4	110	
58:0	232	2	1	0	1	1	4	91	
58:1	233	2	1	1	2	2	5	85	
58:2	234	2	1	2	0	0	3	67	
58:3	235	2	1	0	1	1	4	81	
59:0	236	2	1	0	1	1	4	104	
59:1	237	2	1	1	2	2	5	181	
59:2	238	2	1	2	0	0	3	139	
59:3	239	2	1	0	1	1	4	431	
60:0	240	2	1	0	1	1	4	111	
60:1	241	2	1	1	2	2	5	62	
60:2	242	2	0	2	0	2	2	73	
60:3	243	2	0	0	1	0	0	29	
61:0	244	2	1	0	1	1	4	134	
61:1	245	2	1	1	2	2	5	35	
61:2	246	2	0	2	0	2	2	32	
61:3	247	2	0	0	1	0	0	57	
62:0	248	2	1	0	1	1	4	220	
62:1	249	2	1	1	2	2	5	51	
62:2	250	2	0	2	0	2	2	41	
62:3	251	2	0	0	1	0	0	59	
63:0	252	2	1	0	1	1	4	86	
63:1	253	2	1	1	2	2	5	210	
63:2	254	2	1	2	0	0	3	84	
63:3	255	2	1	0	1	1	4	76	
