0:0	0	2	1	0	1	1	4	79	
0:1	1	2	1	1	2	2	5	49	
0:2	2	2	0	2	0	2	2	77	
0:3	3	2	0	0	1	0	0	34	
1:0	4	2	1	0	1	1	4	128	
1:1	5	2	1	1	2	2	5	50	
1:2	6	2	0	2	0	2	2	40	
1:3	7	2	0	0	1	0	0	54	
2:0	8	2	1	0	1	1	4	115	
2:1	9	2	1	1	2	2	5	142	
2:2	10	2	0	2	0	2	2	114	
2:3	11	2	0	0	1	0	0	66	
3:0	12	2	1	0	1	1	4	71	
3:1	13	2	1	1	2	2	5	59	
3:2	14	2	1	2	0	0	3	289	
3:3	15	2	1	0	1	1	4	73	
4:0	16	2	1	0	1	1	4	247	
4:1	17	2	1	1	2	2	5	50	
4:2	18	2	1	2	0	0	3	82	
4:3	19	2	1	0	1	1	4	76	
5:1	21	2	1	1	2	2	5	114	
5:2	22	2	1	2	0	0	3	105	
5:3	23	2	1	0	1	1	4	92	
6:0	24	2	1	0	1	1	4	72	
6:1	25	2	1	1	2	2	5	87	
6:2	26	2	0	2	0	2	2	77	
6:3	27	2	0	0	1	0	0	34	
7:0	28	2	1	0	1	1	4	66	
7:1	29	2	1	1	2	2	5	83	
7:2	30	2	0	2	0	2	2	37	
7:3	31	2	0	0	1	0	0	55	
8:0	32	2	1	0	1	1	4	290	
8:1	33	2	1	1	2	2	5	96	
8:2	34	2	0	2	0	2	2	74	
8:3	35	2	0	0	1	0	0	41	
9:0	36	2	1	0	1	1	4	61	
9:1	37	2	1	1	2	2	5	98	
9:2	38	2	1	2	0	0	3	49	
9:3	39	2	1	0	1	1	4	97	
10:0	40	2	1	0	1	1	4	64	
10:1	41	2	1	1	2	2	5	168	
10:2	42	2	1	2	0	0	3	122	
10:3	43	2	1	0	1	1	4	61	
11:0	44	2	1	0	1	1	4	39	
11:1	45	2	1	1	2	2	5	77	
11:2	46	2	1	2	0	0	3	105	
11:3	47	2	1	0	1	1	4	69	
12:0	48	2	1	0	1	1	4	108	
12:1	49	2	1	1	2	2	5	47	
12:2	50	2	0	2	0	2	2	62	
12:3	51	2	0	0	1	0	0	65	
13:0	52	2	1	0	1	1	4	69	
13:1	53	2	1	1	2	2	5	75	
13:2	54	2	0	2	0	2	2	64	
13:3	55	2	0	0	1	0	0	45	
14:0	56	2	1	0	1	1	4	75	
14:1	57	2	1	1	2	2	5	83	
14:2	58	2	0	2	0	2	2	77	
14:3	59	2	0	0	1	0	0	49	
15:0	60	2	1	0	1	1	4	112	
15:1	61	2	1	1	2	2	5	68	
15:2	62	2	1	2	0	0	3	68	
15:3	63	2	1	0	1	1	4	84	
16:0	64	2	1	0	1	1	4	91	
16:1	65	2	1	1	2	2	5	94	
16:2	66	2	1	2	0	0	3	74	
16:3	67	2	1	0	1	1	4	78	
17:0	68	2	1	0	1	1	4	89	
17:1	69	2	1	1	2	2	5	51	
17:2	70	2	1	2	0	0	3	37	
17:3	71	2	1	0	1	1	4	67	
18:0	72	2	1	0	1	1	4	121	
18:1	73	2	1	1	2	2	5	86	
18:2	74	2	0	2	0	2	2	54	
18:3	75	2	0	0	1	0	0	30	
19:0	76	2	1	0	1	1	4	328	
19:1	77	2	1	1	2	2	5	55	
19:2	78	2	0	2	0	2	2	65	
19:3	79	2	0	0	1	0	0	64	
20:0	80	2	1	0	1	1	4	88	
20:1	81	2	1	1	2	2	5	101	
20:2	82	2	0	2	0	2	2	60	
20:3	83	2	0	0	1	0	0	40	
21:0	84	2	1	0	1	1	4	67	
21:1	85	2	1	1	2	2	5	97	
21:2	86	2	1	2	0	0	3	112	
21:3	87	2	1	0	1	1	4	83	
22:0	88	2	1	0	1	1	4	76	
22:1	89	2	1	1	2	2	5	394	
22:2	90	2	1	2	0	0	3	34	
22:3	91	2	1	0	1	1	4	87	
23:0	92	2	1	0	1	1	4	55	
23:1	93	2	1	1	2	2	5	114	
23:2	94	2	1	2	0	0	3	79	
23:3	95	2	1	0	1	1	4	232	
24:0	96	2	1	0	1	1	4	83	
24:1	97	2	1	1	2	2	5	70	
24:2	98	2	0	2	0	2	2	35	
24:3	99	2	0	0	1	0	0	34	
25:0	100	2	1	0	1	1	4	103	
25:1	101	2	1	1	2	2	5	70	
25:2	102	2	0	2	0	2	2	60	
25:3	103	2	0	0	1	0	0	57	
26:0	104	2	1	0	1	1	4	79	
26:1	105	2	1	1	2	2	5	89	
26:2	106	2	0	2	0	2	2	79	
26:3	107	2	0	0	1	0	0	40	
27:0	108	2	1	0	1	1	4	162	
27:1	109	2	1	1	2	2	5	109	
27:2	110	2	1	2	0	0	3	47	
27:3	111	2	1	0	1	1	4	69	
28:0	112	2	1	0	1	1	4	57	
28:1	113	2	1	1	2	2	5	65	
28:2	114	2	1	2	0	0	3	134	
28:3	115	2	1	0	1	1	4	129	
29:0	116	2	1	0	1	1	4	90	
29:1	117	2	1	1	2	2	5	441	
29:2	118	2	1	2	0	0	3	164	
29:3	119	2	1	0	1	1	4	90	
30:1	121	2	1	1	2	2	5	71	
30:2	122	2	0	2	0	2	2	89	
30:3	123	2	0	0	1	0	0	31	
31:0	124	2	1	0	1	1	4	117	
31:1	125	2	1	1	2	2	5	95	
31:2	126	2	0	2	0	2	2	82	
31:3	127	2	0	0	1	0	0	37	
32:0	128	2	1	0	1	1	4	87	
32:1	129	2	1	1	2	2	5	63	
32:2	130	2	0	2	0	2	2	55	
32:3	131	2	0	0	1	0	0	46	
33:0	132	2	1	0	1	1	4	69	
33:1	133	2	1	1	2	2	5	277	
33:2	134	2	1	2	0	0	3	93	
33:3	135	2	1	0	1	1	4	148	
34:0	136	2	1	0	1	1	4	70	
34:1	137	2	1	1	2	2	5	43	
34:2	138	2	1	2	0	0	3	104	
34:3	139	2	1	0	1	1	4	126	
35:0	140	2	1	0	1	1	4	109	
35:1	141	2	1	1	2	2	5	228	
35:2	142	2	1	2	0	0	3	55	
35:3	143	2	1	0	1	1	4	345	
36:0	144	2	1	0	1	1	4	70	
36:1	145	2	1	1	2	2	5	57	
36:2	146	2	0	2	0	2	2	48	
36:3	147	2	0	0	1	0	0	41	
37:0	148	2	1	0	1	1	4	192	
37:1	149	2	1	1	2	2	5	95	
37:2	150	2	0	2	0	2	2	47	
37:3	151	2	0	0	1	0	0	41	
38:0	152	2	1	0	1	1	4	64	
38:1	153	2	1	1	2	2	5	117	
38:2	154	2	0	2	0	2	2	89	
38:3	155	2	0	0	1	0	0	72	
39:0	156	2	1	0	1	1	4	194	
39:1	157	2	1	1	2	2	5	73	
39:2	158	2	1	2	0	0	3	102	
39:3	159	2	1	0	1	1	4	130	
40:0	160	2	1	0	1	1	4	67	
40:1	161	2	1	1	2	2	5	79	
40:2	162	2	1	2	0	0	3	69	
40:3	163	2	1	0	1	1	4	34	
41:0	164	2	1	0	1	1	4	48	
41:1	165	2	1	1	2	2	5	59	
41:2	166	2	1	2	0	0	3	164	
41:3	167	2	1	0	1	1	4	70	
42:0	168	2	1	0	1	1	4	62	
42:1	169	2	1	1	2	2	5	91	
42:2	170	2	0	2	0	2	2	108	
42:3	171	2	0	0	1	0	0	41	
43:0	172	2	1	0	1	1	4	75	
43:1	173	2	1	1	2	2	5	177	
43:2	174	2	0	2	0	2	2	79	
43:3	175	2	0	0	1	0	0	48	
44:0	176	2	1	0	1	1	4	64	
44:1	177	2	1	1	2	2	5	122	
44:2	178	2	0	2	0	2	2	90	
44:3	179	2	0	0	1	0	0	56	
45:0	180	2	1	0	1	1	4	54	
45:1	181	2	1	1	2	2	5	94	
45:2	182	2	1	2	0	0	3	70	
45:3	183	2	1	0	1	1	4	58	
46:0	184	2	1	0	1	1	4	78	
46:1	185	2	1	1	2	2	5	42	
46:2	186	2	1	2	0	0	3	108	
46:3	187	2	1	0	1	1	4	96	
47:0	188	2	1	0	1	1	4	95	
47:1	189	2	1	1	2	2	5	129	
47:2	190	2	1	2	0	0	3	168	
47:3	191	2	1	0	1	1	4	59	
48:0	192	2	1	0	1	1	4	103	
48:1	193	2	1	1	2	2	5	105	
48:2	194	2	0	2	0	2	2	94	
48:3	195	2	0	0	1	0	0	31	
49:0	196	2	1	0	1	1	4	86	
49:1	197	2	1	1	2	2	5	61	
49:2	198	2	0	2	0	2	2	32	
49:3	199	2	0	0	1	0	0	74	
50:0	200	2	1	0	1	1	4	89	
