0:0	0	2	1	0	1	1	4	85	
0:1	1	2	1	1	2	2	5	84	
0:2	2	2	0	2	0	2	2	92	
0:3	3	2	0	0	1	0	0	50	
1:0	4	2	1	0	1	1	4	80	
1:1	5	2	1	1	2	2	5	127	
1:2	6	2	0	2	0	2	2	48	
1:3	7	2	0	0	1	0	0	46	
2:0	8	2	1	0	1	1	4	79	
2:1	9	2	1	1	2	2	5	66	
2:2	10	2	0	2	0	2	2	76	
2:3	11	2	0	0	1	0	0	43	
3:0	12	2	0	0	1	0	0	46	
3:1	13	2	0	1	2	1	1	59	
3:2	14	2	1	2	0	0	3	109	
3:3	15	2	1	0	1	1	4	112	
4:0	16	2	0	0	1	0	0	35	
4:1	17	2	0	1	2	1	1	47	
4:2	18	2	1	2	0	0	3	65	
4:3	19	2	1	0	1	1	4	93	
5:0	20	2	0	0	1	0	0	33	
5:1	21	2	0	1	2	1	1	55	
5:2	22	2	1	2	0	0	3	94	
5:3	23	2	1	0	1	1	4	89	
6:0	24	2	1	0	1	1	4	118	
6:1	25	2	1	1	2	2	5	52	
6:2	26	2	0	2	0	2	2	76	
6:3	27	2	0	0	1	0	0	75	
7:0	28	2	1	0	1	1	4	102	
7:1	29	2	1	1	2	2	5	91	
7:2	30	2	0	2	0	2	2	51	
7:3	31	2	0	0	1	0	0	22	
8:0	32	2	1	0	1	1	4	209	
8:1	33	2	1	1	2	2	5	217	
8:2	34	2	0	2	0	2	2	93	
8:3	35	2	0	0	1	0	0	50	
9:0	36	2	0	0	1	0	0	31	
9:1	37	2	0	1	2	1	1	50	
9:2	38	2	1	2	0	0	3	126	
9:3	39	2	1	0	1	1	4	106	
10:0	40	2	0	0	1	0	0	38	
10:1	41	2	0	1	2	1	1	71	
10:2	42	2	1	2	0	0	3	155	
10:3	43	2	1	0	1	1	4	96	
11:0	44	2	0	0	1	0	0	64	
11:1	45	2	0	1	2	1	1	41	
11:2	46	2	1	2	0	0	3	155	
11:3	47	2	1	0	1	1	4	65	
12:0	48	2	1	0	1	1	4	64	
12:1	49	2	1	1	2	2	5	83	
12:2	50	2	0	2	0	2	2	66	
12:3	51	2	0	0	1	0	0	31	
13:0	52	2	1	0	1	1	4	105	
13:1	53	2	1	1	2	2	5	47	
13:2	54	2	0	2	0	2	2	58	
13:3	55	2	0	0	1	0	0	40	
14:0	56	2	1	0	1	1	4	56	
14:1	57	2	1	1	2	2	5	60	
14:2	58	2	0	2	0	2	2	48	
14:3	59	2	0	0	1	0	0	33	
15:0	60	2	0	0	1	0	0	46	
15:1	61	2	0	1	2	1	1	41	
15:2	62	2	1	2	0	0	3	165	
15:3	63	2	1	0	1	1	4	64	
16:0	64	2	0	0	1	0	0	39	
16:1	65	2	0	1	2	1	1	28	
16:2	66	2	1	2	0	0	3	72	
16:3	67	2	1	0	1	1	4	103	
